client_name,industry,campaign_type,monthly_budget_naira,status
Naija Travels,Entertainment,SEO,3411243,Paused
AfroBeats Hub,Beauty,Brand Awareness,6280637,Completed
Lagos Fashion House,Technology,Social Media,5394576,Paused
Naija Travels,Technology,Influencer Marketing,2224722,Active
Zinox Media,Real Estate,Influencer Marketing,3222917,Paused
Prime Realtors,Fashion,Influencer Marketing,4671710,Active
Zinox Media,Fintech,SEO,7079025,Completed
Lagos Fashion House,Technology,Brand Awareness,3814264,Active
Naija Travels,Travel,Google Ads,787316,Paused
TechNova Africa,Fashion,SEO,1630016,Paused
TechNova Africa,Beauty,Product Launch,8144025,Active
Flutter Campaigns,Fintech,SEO,3133199,Completed
AfroBeats Hub,Technology,Social Media,4765435,Active
TechNova Africa,Travel,Influencer Marketing,726390,Completed
Prime Realtors,Entertainment,Social Media,8160580,Completed
Zinox Media,Hospitality,Brand Awareness,3101630,Completed
AfroBeats Hub,Beauty,Product Launch,6611257,Completed
Flutter Campaigns,Fashion,Brand Awareness,590334,Completed
Zinox Media,Entertainment,Product Launch,7477993,Active
TechNova Africa,Real Estate,Product Launch,7214056,Paused
Zinox Media,Food,Brand Awareness,3724904,Paused
AfroBeats Hub,Beauty,SEO,8835832,Active
AfroBeats Hub,Technology,SEO,2712495,Active
Food Arena NG,Beauty,Google Ads,9955991,Active
TechNova Africa,Fintech,Influencer Marketing,5078731,Completed
Luxury Wears NG,Food,SEO,1908984,Active
Food Arena NG,Technology,Google Ads,5133828,Completed
Flutter Campaigns,Travel,Google Ads,3495704,Active
Flutter Campaigns,Food,Brand Awareness,5911456,Paused
Zinox Media,Fintech,SEO,1592755,Active
AfroBeats Hub,Technology,Social Media,2182368,Active
Zinox Media,Real Estate,Product Launch,5359907,Paused
Zinox Media,Food,SEO,2366861,Active
Zinox Media,Hospitality,Influencer Marketing,5953414,Completed
Glow Beauty,Beauty,Influencer Marketing,1619358,Paused
Lagos Fashion House,Food,Influencer Marketing,4948074,Paused
Food Arena NG,Technology,Social Media,9710125,Paused
Lagos Fashion House,Fintech,Social Media,7126646,Paused
Glow Beauty,Real Estate,Social Media,4226418,Active
Food Arena NG,Travel,SEO,9154834,Paused
Zinox Media,Fashion,SEO,4293283,Active
Zinox Media,Food,Social Media,4675525,Active
Luxury Wears NG,Hospitality,Brand Awareness,2200620,Paused
Luxury Wears NG,Hospitality,Social Media,9677704,Active
Food Arena NG,Hospitality,Social Media,4723903,Paused
Glow Beauty,Fintech,Brand Awareness,4017249,Active
Luxury Wears NG,Fashion,Brand Awareness,4716092,Active
TechNova Africa,Fintech,Social Media,1993154,Active
Food Arena NG,Hospitality,SEO,5321544,Paused
TechNova Africa,Fashion,SEO,1408947,Paused
Flutter Campaigns,Hospitality,Influencer Marketing,6443812,Completed
Lagos Fashion House,Technology,Brand Awareness,1263788,Active
TechNova Africa,Entertainment,Product Launch,7474743,Active
Glow Beauty,Technology,Social Media,8214830,Active
Lagos Fashion House,Technology,Google Ads,1876771,Paused
Prime Realtors,Technology,Influencer Marketing,519387,Completed
Lagos Fashion House,Real Estate,Social Media,9792268,Completed
Lagos Fashion House,Technology,Social Media,9921067,Completed
AfroBeats Hub,Fashion,Google Ads,7810034,Paused
AfroBeats Hub,Travel,Brand Awareness,2651290,Active
Food Arena NG,Hospitality,Brand Awareness,7678326,Active
Prime Realtors,Technology,SEO,8722745,Paused
Prime Realtors,Fashion,Brand Awareness,5530249,Active
TechNova Africa,Entertainment,Influencer Marketing,5746028,Active
Zinox Media,Real Estate,Brand Awareness,1155782,Paused
Naija Travels,Technology,Product Launch,9004266,Active
Prime Realtors,Real Estate,Product Launch,3990940,Active
Luxury Wears NG,Beauty,Google Ads,3098397,Completed
TechNova Africa,Entertainment,SEO,3193261,Active
Prime Realtors,Entertainment,Google Ads,2435147,Completed
Zinox Media,Travel,Social Media,6228975,Active
Food Arena NG,Beauty,Google Ads,8942750,Active
Zinox Media,Fintech,Product Launch,2105279,Paused
Flutter Campaigns,Technology,Social Media,5573051,Completed
Glow Beauty,Real Estate,Social Media,9910423,Completed
Food Arena NG,Fintech,Google Ads,6594553,Paused
Prime Realtors,Food,SEO,1460945,Paused
TechNova Africa,Technology,Product Launch,4506888,Active
Glow Beauty,Beauty,Social Media,3009498,Completed
Prime Realtors,Fintech,Product Launch,3711949,Active
TechNova Africa,Hospitality,Product Launch,8444464,Active
TechNova Africa,Real Estate,Influencer Marketing,6334686,Paused
Naija Travels,Fintech,SEO,1781491,Active
Glow Beauty,Real Estate,SEO,9464767,Paused
Flutter Campaigns,Food,Product Launch,4179619,Paused
AfroBeats Hub,Travel,Social Media,2506647,Paused
Prime Realtors,Real Estate,Influencer Marketing,5615056,Active
Food Arena NG,Food,Google Ads,3554612,Completed
Prime Realtors,Entertainment,Influencer Marketing,3566597,Paused
Glow Beauty,Fintech,Google Ads,6920113,Active
Glow Beauty,Fintech,Brand Awareness,9326044,Completed
Food Arena NG,Technology,Brand Awareness,8172075,Paused
AfroBeats Hub,Technology,Brand Awareness,3165703,Active
Prime Realtors,Food,Product Launch,2293125,Active
AfroBeats Hub,Fashion,Product Launch,888186,Active
Flutter Campaigns,Real Estate,Influencer Marketing,3332083,Paused
Naija Travels,Technology,Google Ads,2015058,Active
TechNova Africa,Beauty,Social Media,2829263,Paused
Zinox Media,Hospitality,Influencer Marketing,8921244,Completed
Glow Beauty,Travel,Google Ads,9821234,Completed
